Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll, DCM1, DCM2, DCM3, DCM4, DCM5, DCM6, DCM7, DCM8, DCM9, MagNED1, MagNED2, MagNED3, AccNED1, AccNED2, ACCNED3 
2018-09-19-03:57:21.717926,-0.14322271943092346,0.2232052981853485,0.123428575694561,0.15357686579227448,-0.30159956216812134,-9.795899391174316,0.00508350133895874,-0.0013912274735048413,-0.008807962760329247,7.502488136291504,101.84500122070312,51.88072204589844,0.9598056674003601,1.6723464727401733,0.617214024066925,-0.786090612411499,0.03329569101333618,0.7866170406341553,0.6174222826957703,-0.0048423390835523605,-0.016750985756516457,0.029179716482758522,0.9994338750839233,-0.1679062843322754,0.04416991025209427,0.3730756342411041,0.005713135004043579,-0.01797303557395935,-9.801727294921875
2018-09-19-03:57:21.817726,-0.1410953253507614,0.21974442899227142,0.12359068542718887,0.15984362363815308,-0.30425748229026794,-9.779479026794434,0.005224071908742189,-0.001184811000712216,-0.008935784921050072,7.5031352043151855,101.8280029296875,51.85698699951172,0.963294267654419,1.6917266845703125,0.6175391674041748,-0.7858222723007202,0.03359707444906235,0.786360502243042,0.6177475452423096,-0.005017218180000782,-0.01681186631321907,0.02951774001121521,0.9994229078292847,-0.16541309654712677,0.043907977640628815,0.37314778566360474,0.009240120649337769,-0.013193819671869278,-9.785503387451172
2018-09-19-03:57:21.917707,-0.14538313448429108,0.22439616918563843,0.12579116225242615,0.1569005399942398,-0.29826948046684265,-9.782461166381836,0.004827750381082296,-0.0009488037903793156,-0.008939079008996487,7.502196788787842,101.8530044555664,51.82896041870117,0.9675990343093872,1.7079036235809326,0.6179230213165283,-0.7855091691017151,0.03386280685663223,0.7860574126243591,0.6181322336196899,-0.005149148404598236,-0.016886986792087555,0.02979988232254982,0.9994133114814758,-0.16893309354782104,0.0436505451798439,0.3746063709259033,-1.5735626220703125e-05,-0.010665800422430038,-9.788259506225586
2018-09-19-03:57:22.017733,-0.14438782632350922,0.2198091596364975,0.12465985864400864,0.15925079584121704,-0.30477917194366455,-9.774477005004883,0.005078970920294523,-0.001024233060888946,-0.008752092719078064,7.49957799911499,101.8320083618164,51.80281066894531,0.971430242061615,1.7266457080841064,0.6182810068130493,-0.7852145433425903,0.034158628433942795,0.7857743501663208,0.6184905767440796,-0.005314402282238007,-0.01695384457707405,0.030126765370368958,0.9994024038314819,-0.1663580983877182,0.04247457534074783,0.37391161918640137,0.003896057605743408,-0.011422354727983475,-9.780517578125
2018-09-19-03:57:22.117717,-0.14319761097431183,0.2232208251953125,0.1271720826625824,0.15469375252723694,-0.30872249603271484,-9.755866050720215,0.005107069853693247,-0.0009864562889561057,-0.009002655744552612,7.50026798248291,101.84000396728516,51.77418518066406,0.9753627777099609,1.7446928024291992,0.6186727285385132,-0.7848933935165405,0.034445639699697495,0.7854644060134888,0.6188826560974121,-0.005472511984407902,-0.017022471874952316,0.030441518872976303,0.9993916153907776,-0.16731274127960205,0.04427886754274368,0.37548255920410156,0.001972019672393799,-0.016167469322681427,-9.761961936950684
2018-09-19-03:57:22.217686,-0.14326296746730804,0.2209295630455017,0.12470496445894241,0.16080111265182495,-0.30884605646133423,-9.749424934387207,0.004865021910518408,-0.00116990995593369,-0.008859817869961262,7.5013580322265625,101.8280029296875,51.748191833496094,0.9788815379142761,1.7609951496124268,0.6190282702445984,-0.7846014499664307,0.03470439836382866,0.7851827144622803,0.619238555431366,-0.005616132169961929,-0.017083875834941864,0.030725840479135513,0.9993817806243896,-0.1662168800830841,0.043456126004457474,0.3740499019622803,0.003513544797897339,-0.01023707166314125,-9.755634307861328
2018-09-19-03:57:22.317733,-0.14428161084651947,0.22437554597854614,0.12585045397281647,0.15797586739063263,-0.3115788400173187,-9.74105453491211,0.004976013209670782,-0.0012970133684575558,-0.009132187813520432,7.499946594238281,101.8280029296875,51.72221374511719,0.9813843369483948,1.7783037424087524,0.6193838715553284,-0.7843093276023865,0.03496582806110382,0.7849015593528748,0.6195936799049377,-0.005784774199128151,-0.01712755113840103,0.031027724966406822,0.9993718266487122,-0.16802376508712769,0.04425215348601341,0.37484249472618103,0.0016178488731384277,-0.012706968933343887,-9.747308731079102
2018-09-19-03:57:22.417797,-0.1465568244457245,0.2209947258234024,0.1257745325565338,0.16294534504413605,-0.3130553364753723,-9.739278793334961,0.004936043173074722,-0.0012547707883641124,-0.009054646827280521,7.499579906463623,101.8280029296875,51.69611740112305,0.9842935800552368,1.795264482498169,0.6197407245635986,-0.7840156555175781,0.0352267287671566,0.784618616104126,0.6199502944946289,-0.005944396369159222,-0.01717831939458847,0.03132352977991104,0.9993616938591003,-0.16718073189258575,0.042006831616163254,0.37480974197387695,0.0033412277698516846,-0.008334659039974213,-9.74566650390625
2018-09-19-03:57:22.517726,-0.14545537531375885,0.22097420692443848,0.12583346664905548,0.16190342605113983,-0.3162236213684082,-9.728490829467773,0.004644147586077452,-0.0015776463551446795,-0.008987781591713428,7.499178409576416,101.8280029296875,51.66779708862305,0.9859247207641602,1.8099279403686523,0.6201280951499939,-0.7836994528770447,0.03544199839234352,0.7843117117881775,0.6203368306159973,-0.006098249927163124,-0.017206784337759018,0.03157927095890045,0.9993530511856079,-0.16666793823242188,0.04253648966550827,0.37487486004829407,0.0034279823303222656,-0.009855642914772034,-9.734968185424805
2018-09-19-03:57:22.617713,-0.1487094908952713,0.22331589460372925,0.1256270706653595,0.16106994450092316,-0.31497976183891296,-9.719582557678223,0.004643251188099384,-0.0008518678951077163,-0.009389842860400677,7.4979424476623535,101.8280029296875,51.64188003540039,0.9915987253189087,1.8243577480316162,0.6204817891120911,-0.7834079265594482,0.03569795563817024,0.7840298414230347,0.6206921935081482,-0.006192994304001331,-0.017305798828601837,0.03183090314269066,0.9993433952331543,-0.16880880296230316,0.041942011564970016,0.37487733364105225,-0.00027060508728027344,-0.009028520435094833,-9.726014137268066
