Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-30 23:32:19.638517,-135.5,58.25,135.25,996,1681,16392,-1,-1,0,35.78,1011.16,177.6849132770787,11.260419439321225,3.4826255436627087
2021-10-30 23:32:19.924761,-135.125,60.25,132.75,989,1686,16412,1,1,0,35.87,1011.16,176.3692032845781,19.391362157342677,6.357999600889196
2021-10-30 23:32:20.211477,-136.125,58.0,134.625,1017,1689,16400,-1,-2,1,35.88,1011.19,175.76212182024562,24.134193455903628,8.388792092752793
2021-10-30 23:32:20.498837,-134.0,60.375,136.75,1002,1672,16387,1,2,1,35.89,1011.16,175.4031330702937,26.313683098553685,9.936992322261045
2021-10-30 23:32:20.785404,-140.0,59.125,134.375,987,1688,16418,1,2,-1,35.91,1011.19,174.94602177136412,27.82901403133495,10.826889503659041
2021-10-30 23:32:21.072601,-138.375,61.25,135.375,1009,1711,16424,0,1,1,35.92,1011.22,174.50808424135118,28.33523590928729,11.534408684844959
2021-10-30 23:32:21.359210,-136.0,59.875,136.625,965,1683,16407,1,0,1,35.93,1011.21,174.00801505479131,28.29117169570804,11.857101108547628
2021-10-30 23:32:21.646473,-138.875,63.375,130.125,1007,1676,16425,2,2,1,35.93,1011.2,173.3690326717594,28.888559296387108,12.263593113410089
2021-10-30 23:32:21.933107,-139.5,58.25,135.0,995,1701,16418,0,0,1,35.93,1011.17,172.68944789168785,28.818004518636403,12.127929714053622
2021-10-30 23:32:22.219914,-138.0,60.0,133.875,997,1681,16398,0,2,0,35.89,1011.18,172.0063625631771,28.77832856621629,12.11894913247954
2021-10-30 23:32:22.506289,-136.5,60.5,136.0,987,1714,16402,3,0,1,35.88,1011.21,171.34652981361413,28.50444910114274,12.121365463029834
2021-10-30 23:32:22.793271,-136.75,58.75,134.125,974,1687,16424,-2,-1,0,35.88,1011.2,170.589460412933,28.5173984175427,11.949647179193894
2021-10-30 23:32:23.079571,-138.625,59.875,133.25,990,1692,16412,1,3,2,35.88,1011.16,169.79833248792832,28.717707071073555,11.853028356056052
2021-10-30 23:32:23.366259,-136.0,59.5,134.75,1002,1705,16423,3,0,2,35.91,1011.17,169.04932171454422,28.5151450162615,11.762988522729067
2021-10-30 23:32:23.652671,-136.75,61.5,132.125,1002,1688,16462,3,2,1,35.92,1011.19,168.22251473291522,28.671475811060027,11.757673183695928
2021-10-30 23:32:23.940031,-135.625,62.75,135.375,1019,1698,16448,2,3,1,35.92,1011.19,167.4399284806771,28.431268804087576,11.771026269608793
2021-10-30 23:32:24.225598,-138.5,62.25,135.375,1008,1708,16433,-1,0,2,35.92,1011.19,166.55865496088276,28.489531427156088,11.642681330566022
2021-10-30 23:32:24.514383,-136.5,59.0,134.125,1014,1704,16447,-1,-1,-1,35.95,1011.2,165.64283812134883,28.446761641296483,11.359869413084734
2021-10-30 23:32:24.799579,-137.25,58.375,135.5,1024,1707,16426,0,1,-1,35.95,1011.2,164.72032633650414,28.378920195726767,11.069466824739495
2021-10-30 23:32:25.084989,-133.125,60.375,132.5,999,1708,16449,1,1,2,35.97,1011.18,163.82533185602256,28.32160733857992,11.032295942976134
2021-10-30 23:32:25.370761,-136.5,57.875,131.75,1022,1693,16428,1,0,-1,35.98,1011.21,162.7901520338474,28.523440300817725,10.729875555443723
2021-10-30 23:32:25.657424,-136.75,58.375,133.875,980,1697,16441,1,-1,0,35.96,1011.17,161.7940802000349,28.522989253823095,10.499126304320438
2021-10-30 23:32:25.943313,-131.875,61.25,134.5,987,1712,16444,1,1,1,35.94,1011.21,160.904413293101,28.181771798873427,10.552509234156284
2021-10-30 23:32:26.230227,-134.625,60.875,133.25,1005,1693,16420,2,0,1,35.92,1011.17,159.85199467044984,28.23809220423894,10.417425170580454
2021-10-30 23:32:26.518057,-141.75,58.75,133.25,997,1672,16442,0,0,2,35.91,1011.2,158.60647077180735,28.692458916915808,9.976386855462863
2021-10-30 23:32:26.803725,-136.625,62.75,131.25,985,1684,16442,0,0,1,35.91,1011.19,157.4723562890923,28.785245845623393,9.973625852506679
2021-10-30 23:32:27.089206,-139.0,58.75,133.625,972,1712,16416,-3,-1,2,35.92,1011.22,156.30103606353128,28.76136450336974,9.662823025910557
2021-10-30 23:32:27.374715,-137.125,60.5,134.625,1009,1697,16433,2,1,1,35.93,1011.22,155.1686108081423,28.55590472524897,9.510415571249318
2021-10-30 23:32:27.660825,-139.75,61.875,139.125,986,1682,16441,-2,0,0,35.93,1011.16,154.01498909086155,28.323710782045666,9.313584953862007
2021-10-30 23:32:27.947338,-135.875,60.875,138.125,1001,1689,16427,1,3,-1,35.95,1011.19,152.87597633524555,28.00295853938052,9.14456011335988
2021-10-30 23:32:28.233301,-135.625,60.375,132.25,993,1698,16418,-1,3,-1,35.96,1011.2,151.53467625003472,28.189187960022092,8.901912525976421
2021-10-30 23:32:28.519075,-136.875,60.0,136.875,975,1679,16417,1,1,0,35.96,1011.2,150.26144290833636,28.04266140861267,8.629019958220274
2021-10-30 23:32:28.805114,-136.0,60.5,137.625,987,1674,16441,2,2,3,35.97,1011.18,148.98786149757493,27.84721654778455,8.403244991638239
2021-10-30 23:32:29.091020,-136.75,59.75,133.875,986,1699,16456,1,4,-1,35.99,1011.17,147.5415403248168,28.001507792366514,8.093606388861001
2021-10-30 23:32:29.376783,-137.25,62.0,130.375,973,1664,16444,-2,-8,1,35.99,1011.15,145.94565594141952,28.30888289176511,7.840188137733947
2021-10-30 23:32:29.662926,-138.875,62.75,132.75,998,1721,16432,6,1,-1,36.0,1011.2,144.39386004309029,28.377633178569134,7.663276934655388
2021-10-30 23:32:29.949573,-139.0,62.625,131.0,989,1727,16463,4,-1,0,35.99,1011.23,142.74774034826072,28.47997314802187,7.425429625678269
2021-10-30 23:32:30.235456,-137.125,58.375,132.5,988,1748,16422,0,-4,-2,35.99,1011.21,141.19507119002424,28.25159687835901,7.071945916559791
2021-10-30 23:32:30.523657,-134.875,62.75,136.375,998,1707,16434,6,-2,0,35.99,1011.18,139.74287226436985,27.767139448092827,6.97741292681363
2021-10-30 23:32:30.810749,-138.125,60.375,132.75,994,1696,16474,2,0,-1,35.98,1011.22,137.9642135685612,27.82095149036912,6.5214446160966375
